"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"263",1,65723,64589,62974.5069572605,68482.9357772937,61516.5139193156,69940.9288152386
"264",15,64946,56259,55436.0215185804,60344.9285092827,54136.7123234913,61644.2377043718
"265",15,60865,53739,52369.8232334542,57352.5485995522,51050.9754946323,58671.3963383742
"266",15,57764,60683,57328.2925934661,63105.736895488,55799.0954585539,64634.9340304003
"267",1,59458,60515,56692.6276289943,62235.837828767,55225.4285159294,63703.036941832
"268",1,60165,60921,57397.7019600564,62939.8466857033,55930.7848609573,64406.7637848024
"269",1,60676,60025,57906.1179525729,63447.0468084734,56439.522674756,64913.6420862903
"270",1,60508,60865,57738.9251825912,63278.606632859,56272.6600731013,64744.871742349
"271",1,60802,62524,58034.8177867549,63573.1564397193,56568.9080942421,65039.0661322322
"272",1,61677,61523,58914.1970231376,64452.0268378253,57448.4220119812,65917.8018489817
"273",1,61642,63651,58877.3302064563,64413.7900498887,57411.9178047876,65879.2024515574
"274",1,62580,62811,59812.3047843418,65348.5705415167,58346.9437542023,66813.9315716562
"275",1,62636,61152,59875.2143666045,65410.1194669292,58410.2134805785,66875.1203529551
"276",1,61929,61089,59162.6055447362,64696.7931237801,57697.7945751213,66161.604093395
"277",1,61565,61495,58800.8475878968,64333.87112735,57336.3447209504,65798.3739942962
"278",1,61544,60515,58782.5546908213,64317.0258662872,57317.6686577677,65781.9118993408
"279",1,61138,61229,58379.4734445919,63910.0825570466,56915.6096378694,65373.9463637691
"280",1,61257,60291,58494.1954016634,64023.4416015404,57030.6923361095,65486.9446670943
"281",1,60886,61110,58126.7758179636,63654.9295387263,56663.5619141642,65118.1434425257
"282",1,61082,60501,58320.5363129433,63847.3302318552,56857.6823269529,65310.1842178456
"283",1,60886,60410,58126.4752791414,63654.824626423,56663.2095961303,65118.0903094341
"284",1,60767,61705,58007.7815343927,63532.0166723031,56545.6048168227,64994.1933898731
"285",1,61285,60221,58525.8743908156,64048.9984088459,57063.9917689129,65510.8810307486
"286",1,60858,60781,58102.6055091334,63624.7005031687,56640.9952534297,65086.3107588723
"287",1,60914,60970,58154.225926004,63674.955120551,56692.977175588,65136.2038709671
"288",1,61019,61397,58260.9412269632,63780.311596794,56800.0521357242,65241.2006880329
"289",1,61257,61635,58501.1038101389,64019.1526403064,57040.5645093196,65479.6919411258
"290",1,61474,61957,58719.3667657413,64236.0948536782,57259.1770442739,65696.2845751456
"291",1,61719,61313,58965.4110319022,64480.8452878297,57505.5637670814,65940.6925526505
"292",1,61544,58576,58792.2191573706,64306.3442722935,57332.7184012428,65765.8450284214
"293",1,60235,60669,57483.7815765716,62999.1479327318,56023.9522837336,64458.9772255699
"294",1,60564,59164,57807.3172421093,63321.3740377308,56347.8345690081,64780.8567108319
"295",1,60032,60690,57281.7154316355,62794.9969525681,55822.4379613492,64254.2744228544
"296",1,60466,61817,57716.6915368022,63228.7397052919,56257.7405151882,64687.690726906
"297",1,61173,60648,58422.9147751211,63934.1342976493,56964.1830828445,65392.865989926
"298",1,60984,60312,58229.2635458401,63739.2121341397,56770.8682495336,65197.6074304463
"299",1,60739,59304,57987.2208944377,63495.9498452558,56529.1484166725,64954.022323021
"300",1,60172,60844,57420.7582285706,62928.7430516347,55962.8827095246,64386.6185706808
"301",1,60592,60431,57842.9643526398,63349.7269511218,56385.4123368993,64807.2789668622
"302",1,60606,61593,57854.1172960373,63359.5377477617,56396.9205250849,64816.7345187141
"303",1,61131,60809,58382.6175169663,63889.7634517983,56924.9640382228,65347.4169305418
"304",16,61019,63546,60253.294053154,65943.3417875842,58747.2293923559,67449.4064483823
"305",1,62195,63028,59446.0990496827,64949.6411048157,57989.3994602754,66406.3406942229
"306",15,62517,66038,63047.7734122769,68852.297907921,61511.4085830807,70388.6627371172
"307",15,64015,67340,64063.9092831159,69819.8745581227,62540.3973032402,71343.3865379984
"308",15,65310,64736,61842.5908291158,67285.7581914683,60401.8714555956,68726.4775649885
"309",15,64750,62979,59979.8110897472,65305.7264695931,58570.12644133,66715.4111180104
"310",1,63700,63133,60951.9972966482,66456.845609805,59494.9519616269,67913.8909448262
"311",1,63287,64141,60537.0463175661,66040.6464878583,59080.3313460055,67497.361459419
"312",15,63546,59549,57001.6002523061,62160.2577875846,55636.1860811681,63525.6719587226
"313",15,61607,58324,56760.9421204099,62070.455289922,55355.5988748238,63475.7985355081
"314",1,60151,59640,57398.3004941653,62905.8934208662,55940.5287038208,64363.6652112106
"315",15,60067,59374,54993.5668933087,60276.9453000299,53595.1411015815,61675.3710917571
"316",16,59899,58527,56321.7315210092,61746.8305602704,54885.7945437284,63182.7675375512
"317",15,59444,62139,58745.5301329408,64449.2607327885,57235.8438364332,65958.9470292961
"318",16,60851,61264,58859.9663445306,64436.8011276526,57383.8673418549,65912.9001303283
"319",1,61110,62293,58360.9928132926,63864.8066490182,56904.2212879078,65321.578174403
"320",1,61691,62958,58943.5751700542,64446.4536777503,57487.0512110444,65902.9776367601
"321",1,62258,62363,59513.5309164798,65015.5336358428,58057.2387646395,66471.8257876831
"322",1,62258,60893,59510.1479154143,65010.8170937496,58054.2087305629,66466.756278601
"323",1,61593,61880,58846.7319974127,64346.6094441773,57391.0023712496,65802.3390703405
