"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2027.481",63956.3714408846,47543.5006996146,80369.2421821546,38855.0517588082,89057.6911229609
"2027.500",63965.7940154875,47488.6842663256,80442.9037646495,38766.2292488934,89165.3587820816
"2027.519",63975.2165900905,47434.1173097458,80516.3158704351,38677.7882806802,89272.6448995007
"2027.538",63984.6391646934,47379.7969456746,80589.4813837122,38589.7244431645,89379.5538862223
"2027.558",63994.0617392963,47325.7203450604,80662.4031335323,38502.033409685,89486.0900689076
"2027.577",64003.4843138993,47271.8847325355,80735.083895263,38414.7109356835,89592.257692115
"2027.596",64012.9068885022,47218.287385001,80807.5263920034,38327.7528565393,89698.0609204651
"2027.615",64022.3294631051,47164.9256302585,80879.7332959518,38241.1550854776,89803.5038407327
"2027.635",64031.7520377081,47111.7968456881,80951.7072297281,38154.9136115476,89908.5904638686
"2027.654",64041.174612311,47058.8984569703,81023.4507676518,38069.0244976672,90013.3247269549
"2027.673",64050.597186914,47006.2279368494,81094.9664369785,37983.4838787325,90117.7104950954
"2027.692",64060.0197615169,46953.7828039381,81166.2567190957,37898.2879597888,90221.751563245
"2027.712",64069.4423361198,46901.5606215597,81237.3240506799,37813.4330142612,90325.4516579785
"2027.731",64078.8649107228,46849.5589966292,81308.1708248163,37728.9153822416,90428.8144392039
"2027.750",64088.2874853257,46797.7755785686,81378.7993920828,37644.7314688312,90531.8435018202
"2027.769",64097.7100599286,46746.2080582574,81449.2120615999,37560.8777425351,90634.5423773222
"2027.788",64107.1326345316,46694.8541670165,81519.4111020467,37477.3507337079,90736.9145353553
"2027.808",64116.5552091345,46643.7116756228,81589.3987426462,37394.1470330473,90838.9633852218
"2027.827",64125.9777837375,46592.778393356,81659.1771741189,37311.2632901354,90940.6922773396
"2027.846",64135.4003583404,46542.0521670733,81728.7485496076,37228.6962120245,91042.1045046563
"2027.865",64144.8229329433,46491.5308803132,81798.1149855735,37146.4425618664,91143.2033040202
"2027.885",64154.2455075463,46441.2124524271,81867.2785626655,37064.4991575834,91243.9918575092
"2027.904",64163.6680821492,46391.0948377359,81936.2413265625,36982.8628705793,91344.4732937191
"2027.923",64173.0906567522,46341.1760247132,82005.0052887912,36901.5306244899,91444.6506890144
"2027.942",64182.5132313551,46291.4540351918,82073.5724275183,36820.4993939699,91544.5270687403
"2027.962",64191.935805958,46241.9269235951,82141.944688321,36739.7662035161,91644.1054084
"2027.981",64201.358380561,46192.5927761893,82210.1239849326,36659.3281263256,91743.3886347963
"2028.000",64210.7809551639,46143.4497103594,82278.1121999684,36579.182283187,91842.3796271408
"2028.019",64220.2035297668,46094.4958739047,82345.911185629,36499.325841404,91941.0812181297
"2028.038",64229.6261043698,46045.7294443557,82413.5227643839,36419.75601375,92039.4961949896
"2028.058",64239.0486789727,45997.1486283102,82480.9487296353,36340.4700574528,92137.6273004926
"2028.077",64248.4712535757,45948.7516607881,82548.1908463632,36261.4652732085,92235.4772339428
"2028.096",64257.8938281786,45900.5368046051,82615.2508517521,36182.7390042229,92333.0486521343
"2028.115",64267.3164027815,45852.5023497634,82682.1304557997,36104.28863528,92430.3441702831
"2028.135",64276.7389773845,45804.6466128599,82748.831341909,36026.1115918371,92527.3663629319
"2028.154",64286.1615519874,45756.9679365109,82815.355167464,35948.2053391442,92624.1177648306
"2028.173",64295.5841265904,45709.464688792,82881.7035643888,35870.5673813887,92720.600871792
"2028.192",64305.0067011933,45662.1352626944,82947.8781396922,35793.1952608626,92816.818141524
"2028.212",64314.4292757962,45614.9780755955,83013.880475997,35716.0865571534,92912.771994439
"2028.231",64323.8518503992,45567.9915687437,83079.7121320546,35639.2388863564,93008.4648144419
"2028.250",64333.2744250021,45521.1742067577,83145.3746432465,35562.6499003084,93103.8989496958
"2028.269",64342.696999605,45474.5244771385,83210.8695220716,35486.3172858418,93199.0767133683
